day_period;currency_code;currency_name;currency_rate;source
2021-01-01;AUD;AUD;0.7719552089;ECB
2021-01-01;BGN;BGN;0.6274158912;ECB
2021-01-01;BRL;BRL;0.1925315761;ECB
2021-01-01;CAD;CAD;0.7849421096;ECB
2021-01-01;CHF;CHF;1.1359933346;ECB
2021-01-01;CNY;CNY;0.1529573076;ECB
2021-01-01;CZK;CZK;0.0467609176;ECB
2021-01-01;DKK;DKK;0.1649128466;ECB
2021-01-01;EUR;EUR;1.2271;ECB
2021-01-01;GBP;GBP;1.3649155201;ECB
2021-01-01;HKD;HKD;0.1289756364;ECB
2021-01-01;HRK;HRK;0.1624889101;ECB
2021-01-01;HUF;HUF;0.0033721729;ECB
2021-01-01;IDR;IDR;0.0000711744;ECB
2021-01-01;ILS;ILS;0.3110756205;ECB
2021-01-01;INR;INR;0.0136860713;ECB
2021-01-01;ISK;ISK;0.0078609865;ECB
2021-01-01;JPY;JPY;0.0097011621;ECB
2021-01-01;KRW;KRW;0.000918488;ECB
2021-01-01;LAK;Lao Kip;0.000107767917;XE
2021-01-01;MXN;MXN;0.0502580275;ECB
2021-01-01;MYR;MYR;0.248702878;ECB
2021-01-01;NGN;Nigerian Naira;0.00262148245;XE
2021-01-01;NOK;NOK;0.1171981701;ECB
2021-01-01;NZD;NZD;0.7225035327;ECB
2021-01-01;PHP;PHP;0.020754334;ECB
2021-01-01;PLN;PLN;0.2691185824;ECB
2021-01-01;RON;RON;0.2520592404;ECB
2021-01-01;RUB;RUB;0.0134157528;ECB
2021-01-01;SEK;SEK;0.1222905434;ECB
2021-01-01;SGD;SGD;0.7566284375;ECB
2021-01-01;THB;THB;0.0334113867;ECB
2021-01-01;TRY;TRY;0.1346523137;ECB
2021-01-01;UGX;Ugandan Shilling;0.000273704718;XE
2021-01-01;USD;USD;1.0;ECB
2021-01-01;UST;USDT;1.0;CUST
2021-01-01;VND;Vietnamese Dong;0.000043328553;XE
2021-01-01;XBT;Bitcoin;29347.028613352897;XE
2021-01-01;ZAR;ZAR;0.0680893801;ECB
2021-01-02;AUD;AUD;0.7719552089;ECB
2021-01-02;BGN;BGN;0.6274158912;ECB
2021-01-02;BRL;BRL;0.1925315761;ECB
2021-01-02;CAD;CAD;0.7849421096;ECB
2021-01-02;CHF;CHF;1.1359933346;ECB
2021-01-02;CNY;CNY;0.1529573076;ECB
2021-01-02;CZK;CZK;0.0467609176;ECB
2021-01-02;DKK;DKK;0.1649128466;ECB
2021-01-02;EUR;EUR;1.2271;ECB
2021-01-02;GBP;GBP;1.3649155201;ECB
2021-01-02;HKD;HKD;0.1289756364;ECB
2021-01-02;HRK;HRK;0.1624889101;ECB
2021-01-02;HUF;HUF;0.0033721729;ECB
2021-01-02;IDR;IDR;0.0000711744;ECB
2021-01-02;ILS;ILS;0.3110756205;ECB
2021-01-02;INR;INR;0.0136860713;ECB
2021-01-02;ISK;ISK;0.0078609865;ECB
2021-01-02;JPY;JPY;0.0097011621;ECB
2021-01-02;KRW;KRW;0.000918488;ECB
2021-01-02;LAK;Lao Kip;0.000107805057;XE
2021-01-02;MXN;MXN;0.0502580275;ECB
2021-01-02;MYR;MYR;0.248702878;ECB
2021-01-02;NGN;Nigerian Naira;0.002623300919;XE
2021-01-02;NOK;NOK;0.1171981701;ECB
2021-01-02;NZD;NZD;0.7225035327;ECB
2021-01-02;PHP;PHP;0.020754334;ECB
2021-01-02;PLN;PLN;0.2691185824;ECB
2021-01-02;RON;RON;0.2520592404;ECB
2021-01-02;RUB;RUB;0.0134157528;ECB
2021-01-02;SEK;SEK;0.1222905434;ECB
2021-01-02;SGD;SGD;0.7566284375;ECB
2021-01-02;THB;THB;0.0334113867;ECB
2021-01-02;TRY;TRY;0.1346523137;ECB
2021-01-02;UGX;Ugandan Shilling;0.000273702119;XE
2021-01-02;USD;USD;1.0;ECB
2021-01-02;UST;USDT;1.0;CUST
